ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
23,FB.csv,2015-10-01,1.167959,1.0,90.949997,89.900002,1.0499949999999956,1.1679588171755497,0.01161190825445862,,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.9,1.0,1,1,1,0.01161190825445862,0.01161190825445862,1.0499949999999956,1.0499949999999956
74,FB.csv,2015-10-02,1.231449,1.0,92.07,90.949997,1.120002999999997,1.2314491885029937,0.012239285320780467,23.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.9,1.0,1,1,1,0.012239285320780467,0.012239285320780467,1.120002999999997,1.120002999999997
152,FB.csv,2015-10-05,2.107095,1.0,94.010002,92.07,1.9400020000000069,2.107094601933319,0.020852023565037424,74.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.9,1.0,1,1,1,0.020852023565037424,0.020852023565037424,1.9400020000000069,1.9400020000000069
227,FB.csv,2015-10-06,-1.287096,0.0,92.800003,94.010002,-1.2099989999999963,-1.2870960262292053,-0.012954508745051201,152.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.9,1.0,1,1,1,-0.012954508745051201,-0.012954508745051201,-1.2099989999999963,-1.2099989999999963
413,FB.csv,2015-10-09,0.832699,1.0,93.239998,92.470001,0.7699970000000036,0.8326992448069765,0.008292514313669404,227.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.9,1.0,1,1,1,0.008292514313669404,0.008292514313669404,0.7699970000000036,0.7699970000000036
461,FB.csv,2015-10-12,1.093955,1.0,94.260002,93.239998,1.0200040000000001,1.0939554074207511,0.010880149995957704,413.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.9,1.0,1,1,1,0.010880149995957704,0.010880149995957704,1.0200040000000001,1.0200040000000001
617,FB.csv,2015-10-15,2.009141,1.0,95.959999,94.07,1.889999000000003,2.009141065164243,0.019892241566624884,461.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.9,0.0,-1,-1,1,-0.019892241566624884,-0.019892241566624884,-1.889999000000003,-1.889999000000003
681,FB.csv,2015-10-16,1.646521,1.0,97.540001,95.959999,1.5800020000000075,1.6465214844364553,0.016331132983625696,617.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.9,0.0,-1,-1,1,-0.016331132983625696,-0.016331132983625696,-1.5800020000000075,-1.5800020000000075
737,FB.csv,2015-10-19,0.953455,1.0,98.470001,97.540001,0.9299999999999926,0.9534549830484342,0.0094893828809772,681.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.9,0.0,-1,-1,1,-0.0094893828809772,-0.0094893828809772,-0.9299999999999926,-0.9299999999999926
774,FB.csv,2015-10-20,-1.492841,0.0,97.0,98.470001,-1.4700009999999963,-1.492841459400408,-0.015040964911705054,737.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.9,0.0,-1,-1,1,0.015040964911705054,0.015040964911705054,1.4700009999999963,1.4700009999999963
875,FB.csv,2015-10-22,2.636183,1.0,99.669998,97.110001,2.55999700000001,2.6361826522893455,0.026020342009283035,774.0,3,Adv-ALSTM,stocknet,0.75,var,0.010878977365791798,0.9,0.0,-1,-1,1,-0.026020342009283035,-0.026020342009283035,-2.55999700000001,-2.55999700000001
950,FB.csv,2015-10-23,2.528348,1.0,102.190002,99.669998,2.520004,2.5283475976391614,0.024969136282357966,875.0,3,Adv-ALSTM,stocknet,0.75,var,0.014775054529309273,0.9,0.0,-1,-1,1,-0.024969136282357966,-0.024969136282357966,-2.520004,-2.520004
1015,FB.csv,2015-10-26,1.546135,1.0,103.769997,102.190002,1.5799949999999967,1.5461346208800315,0.015343037511592762,950.0,3,Adv-ALSTM,stocknet,0.75,var,0.027687985450029373,0.9,0.0,-1,-1,1,-0.015343037511592762,-0.015343037511592762,-1.5799949999999967,-1.5799949999999967
1179,FB.csv,2015-10-29,0.652591,1.0,104.879997,104.199997,0.6800000000000068,0.6525911896139563,0.006504710322845923,1015.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.9,0.0,-1,-1,1,-0.006504710322845923,-0.006504710322845923,-0.6800000000000068,-0.6800000000000068
1234,FB.csv,2015-10-30,-2.774596,0.0,101.970001,104.879997,-2.9099960000000067,-2.7745958078164388,-0.028138148668384853,1179.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.9,0.0,-1,-1,1,0.028138148668384853,0.028138148668384853,2.9099960000000067,2.9099960000000067
1294,FB.csv,2015-11-02,1.314109,1.0,103.309998,101.970001,1.3399969999999968,1.314109038794652,0.013055495319203487,1234.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.9,0.0,-1,-1,1,-0.013055495319203487,-0.013055495319203487,-1.3399969999999968,-1.3399969999999968
1350,FB.csv,2015-11-03,-0.706607,0.0,102.580002,103.309998,-0.7299959999999999,-0.7066073121015837,-0.0070911560440435175,1294.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.9,0.0,-1,-1,1,0.0070911560440435175,0.0070911560440435175,0.7299959999999999,0.7299959999999999
